192.168.1.10;2026-09-04T10:00:01Z;get;/api/v1/products;200;1024;Mozilla/5.0;35;usr_1001
10.0.0.12;2026-09-04T10:00:02Z;post;/api/v1/orders;201;2048;curl/7.68;120;hex:7573725f31303032
172.16.0.4;2026-09-04T10:00:03Z;GET;/api/v1/users/me;200;512;Mozilla/5.0;15;usr_1003
192.168.1.20;2026-09-04T10:00:04Z;GET;/healthz;200;16;Kubernetes/1.28;2;kube_probe
192.168.1.25;2026-09-04T10:00:05Z;get;/api/v1/search;CORRUPTED_STATUS;128;Safari/17;50;usr_1004
172.16.0.9;2026-09-04T10:00:06Z;DELETE;/api/v1/items/42;204;64;PostmanRuntime;45;hex:7573725f31303035
192.168.1.21;2026-09-04T10:00:07Z;GET;/api/v1/out_of_bounds;999;64;Firefox/115;15;usr_1006
192.168.1.15;2026-09-04T10:00:08Z;put;/api/v1/cart;200;256;Chrome/120;80;usr_1007
192.168.1.22;2026-09-04T10:00:09Z;GET;/api/v1/status;500;0;Edge/118;NOT_A_LATENCY;usr_1008
10.0.0.30;2026-09-04T10:00:10Z;POST;/api/v1/checkout;200;4096;Mozilla/5.0;1450;hex:7573725f31303039
192.168.1.33;2026-09-04T10:00:11Z;GET;/api/v1/catalog;200;8192;Chrome/121;65;usr_1010
192.168.1.34;2026-09-04T10:00:12Z;get;/api/v1/reviews/33;200;1024;Safari/17;22;usr_1011
172.16.0.15;2026-09-04T10:00:13Z;GET;/healthz;200;16;DockerHealthCheck;1;daemon
10.0.0.45;2026-09-04T10:00:14Z;post;/api/v1/upload;201;16384;curl/8.1;1850;hex:7573725f31303133
192.168.1.50;2026-09-04T10:00:15Z;GET;/api/v1/settings;200;256;Firefox/118;12;usr_1014
192.168.1.51;2026-09-04T10:00:16Z;put;/api/v1/profile;200;512;Chrome/120;95;usr_1015
10.0.0.60;2026-09-04T10:00:17Z;DELETE;/api/v1/cache;204;0;InternalScript;8;hex:7573725f31303136
192.168.1.55;2026-09-04T10:00:18Z;GET;/api/v1/missing_resource;404;128;Mozilla/5.0;18;usr_1017
192.168.1.56;2026-09-04T10:00:19Z;post;/api/v1/auth/token;200;1024;curl/7.88;42;usr_1018
10.0.0.70;2026-09-04T10:00:20Z;POST;/api/v1/heavy_computation;200;32768;Python/3.12;3200;hex:7573725f31303139
192.168.1.65;2026-09-04T10:00:21Z;GET;/api/v1/notifications;200;512;Chrome/121;30;usr_1020
192.168.1.66;2026-09-04T10:00:22Z;get;/api/v1/billing;200;2048;Safari/17;55;usr_1021
172.16.0.22;2026-09-04T10:00:23Z;GET;/healthz;200;16;Kubelet/1.28;1;kube_probe
192.168.1.70;2026-09-04T10:00:24Z;DELETE;/api/v1/sessions/99;204;32;Postman;20;hex:7573725f31303233
192.168.1.71;2026-09-04T10:00:25Z;patch;/api/v1/account;200;1024;Firefox/119;70;usr_1024
